FIPS Code,County Name,State,Estimated hesitant,Estimated hesitant or unsure,Estimated strongly hesitant,Social Vulnerability Index (SVI),SVI Category,CVAC level of concern for vaccination rollout,CVAC Level Of Concern,Percent adults fully vaccinated against COVID-19 (as of 6/10/21),Percent Hispanic,Percent non-Hispanic American Indian/Alaska Native,Percent non-Hispanic Asian,Percent non-Hispanic Black,Percent non-Hispanic Native Hawaiian/Pacific Islander,Percent non-Hispanic White
12081,"Manatee County, Florida",FLORIDA,12.43%,17.07%,8.18%,0.52,Moderate Vulnerability,0.41,Moderate Concern,48.50%,16.41%,0.20%,2.05%,8.51%,0.03%,71.18%
9013,"Tolland County, Connecticut",CONNECTICUT,5.52%,7.83%,3.09%,0.07,Very Low Vulnerability,0.02,Very Low Concern,59.70%,5.52%,0.05%,4.87%,2.93%,0%,84.61%
13009,"Baldwin County, Georgia",GEORGIA,14.78%,21.84%,9.35%,0.87,Very High Vulnerability,0.78,High Concern,5.70%,2.26%,0.23%,1.75%,42.11%,0%,52.38%
12055,"Highlands County, Florida",FLORIDA,14.45%,20.54%,9.75%,0.87,Very High Vulnerability,0.82,Very High Concern,40.30%,20.08%,0.18%,1.40%,9.40%,0%,67.09%
12087,"Monroe County, Florida",FLORIDA,13.65%,18.88%,8.90%,0.46,Moderate Vulnerability,0.59,Moderate Concern,59%,24.33%,0.07%,1.30%,6.70%,0.15%,66.26%
9009,"New Haven County, Connecticut",CONNECTICUT,5.79%,8.54%,3.18%,0.52,Moderate Vulnerability,0.04,Very Low Concern,65.90%,18.11%,0.10%,4%,12.49%,0.01%,62.89%
13075,"Cook County, Georgia",GEORGIA,17.47%,25.52%,11.21%,0.85,Very High Vulnerability,0.95,Very High Concern,32.40%,5.78%,0.29%,0.72%,26.92%,0%,64.71%
12015,"Charlotte County, Florida",FLORIDA,12.28%,16.58%,8.26%,0.49,Moderate Vulnerability,0.52,Moderate Concern,54.50%,7.28%,0.28%,1.29%,5.35%,0.07%,83.91%
8125,"Yuma County, Colorado",COLORADO,9.45%,14.84%,5.82%,0.56,Moderate Vulnerability,0.47,Moderate Concern,23.80%,23.42%,0.56%,0%,0.47%,0%,74.71%
12097,"Osceola County, Florida",FLORIDA,12.24%,17.87%,7.75%,0.82,Very High Vulnerability,0.81,Very High Concern,50.30%,54.11%,0.22%,2.63%,9.27%,0.07%,31.68%
13107,"Emanuel County, Georgia",GEORGIA,17.28%,25.41%,11.17%,0.98,Very High Vulnerability,0.91,Very High Concern,22.30%,4.50%,0.24%,0.15%,33.87%,0%,59.27%
12041,"Gilchrist County, Florida",FLORIDA,17.95%,24.73%,12.42%,0.76,High Vulnerability,0.9,Very High Concern,26.60%,5.84%,0.03%,0.22%,5.68%,0.01%,86.22%
13017,"Ben Hill County, Georgia",GEORGIA,17.47%,25.52%,11.21%,0.87,Very High Vulnerability,0.9,Very High Concern,6.20%,6.11%,0%,0.69%,36.61%,0%,55.84%
12127,"Volusia County, Florida",FLORIDA,13.34%,18.60%,8.73%,0.53,Moderate Vulnerability,0.65,High Concern,46.30%,13.91%,0.29%,1.75%,10.42%,0.03%,71.67%
13027,"Brooks County, Georgia",GEORGIA,17.47%,25.52%,11.21%,0.84,Very High Vulnerability,0.82,Very High Concern,26.30%,5.90%,0%,0.42%,35.84%,0.05%,56.47%
12035,"Flagler County, Florida",FLORIDA,12.06%,16.51%,7.94%,0.28,Low Vulnerability,0.67,High Concern,51.90%,10.43%,0.28%,2.57%,9.91%,0.09%,74.66%
12005,"Bay County, Florida",FLORIDA,15.53%,21.20%,10.30%,0.61,High Vulnerability,0.67,High Concern,37.30%,6.49%,0.28%,2.32%,10.83%,0.10%,76.12%
12065,"Jefferson County, Florida",FLORIDA,16.81%,23.45%,11.51%,0.57,Moderate Vulnerability,0.8,High Concern,50.80%,4.12%,0.50%,0.28%,34.35%,0%,59.61%
13049,"Charlton County, Georgia",GEORGIA,18.80%,27.23%,12.24%,0.88,Very High Vulnerability,0.95,Very High Concern,5.40%,8.37%,1.78%,0.74%,25.88%,0%,61.14%
13099,"Early County, Georgia",GEORGIA,17.84%,26.45%,11.48%,0.92,Very High Vulnerability,0.88,Very High Concern,8.50%,0.81%,0.29%,0.55%,52.20%,0%,45.22%
11001,"District of Columbia, District of Columbia",DISTRICT OF COLUMBIA,6.55%,8.50%,4.03%,0.6,Moderate Vulnerability,0.17,Very Low Concern,54.60%,11%,0.20%,3.93%,45.44%,0.04%,36.58%
8119,"Teller County, Colorado",COLORADO,8.24%,13.66%,4.94%,0.07,Very Low Vulnerability,0.09,Very Low Concern,27.60%,6.58%,0.39%,0.79%,0.85%,0.03%,88.75%
12103,"Pinellas County, Florida",FLORIDA,12.39%,17%,8.12%,0.52,Moderate Vulnerability,0.58,Moderate Concern,51.70%,9.70%,0.22%,3.33%,9.94%,0.09%,73.99%
13059,"Clarke County, Georgia",GEORGIA,12.88%,20.50%,7.87%,0.77,High Vulnerability,0.7,High Concern,18.50%,10.80%,0.05%,3.87%,27.67%,0.04%,55.02%
12071,"Lee County, Florida",FLORIDA,12.09%,16.66%,7.95%,0.55,Moderate Vulnerability,0.48,Moderate Concern,49.20%,21.38%,0.17%,1.60%,8.15%,0.04%,67.19%
12117,"Seminole County, Florida",FLORIDA,11.46%,15.95%,7.36%,0.18,Very Low Vulnerability,0.46,Moderate Concern,48%,21.39%,0.18%,4.48%,10.96%,0.04%,60.32%
12027,"DeSoto County, Florida",FLORIDA,14.34%,20.37%,9.68%,0.96,Very High Vulnerability,0.95,Very High Concern,35.20%,31.57%,0.08%,0.22%,12.51%,0.11%,54.76%
13113,"Fayette County, Georgia",GEORGIA,11.36%,15.88%,7.02%,0.06,Very Low Vulnerability,0.18,Very Low Concern,30.30%,7.23%,0.09%,4.40%,22.51%,0.13%,62.20%
12013,"Calhoun County, Florida",FLORIDA,16.81%,23.45%,11.51%,0.84,Very High Vulnerability,0.98,Very High Concern,26.60%,5.75%,1.07%,0.11%,12.99%,0%,77.15%
12057,"Hillsborough County, Florida",FLORIDA,12.89%,18.38%,8.33%,0.67,High Vulnerability,0.67,High Concern,46%,28.67%,0.17%,4%,15.59%,0.06%,48.79%
9015,"Windham County, Connecticut",CONNECTICUT,6.77%,9.88%,3.75%,0.42,Moderate Vulnerability,0.09,Very Low Concern,55.10%,11.80%,0.09%,1.37%,1.76%,0.02%,82.70%
13033,"Burke County, Georgia",GEORGIA,16.23%,24.62%,10.43%,0.85,Very High Vulnerability,0.87,Very High Concern,34.20%,3.23%,0%,0.32%,48.06%,0%,47.27%
8111,"San Juan County, Colorado",COLORADO,7.36%,11.42%,4.38%,0.13,Very Low Vulnerability,0.52,Moderate Concern,35.50%,8.49%,1.02%,0%,0%,0%,88.79%
13073,"Columbia County, Georgia",GEORGIA,13.13%,18.37%,8.17%,0.13,Very Low Vulnerability,0.37,Low Concern,23%,6.70%,0.14%,3.76%,16.59%,0%,68.67%
13093,"Dooly County, Georgia",GEORGIA,15.56%,23.29%,9.91%,0.95,Very High Vulnerability,0.96,Very High Concern,10.50%,6.94%,0.04%,0.01%,49.08%,0%,42.59%
12111,"St. Lucie County, Florida",FLORIDA,13.59%,18.88%,9.02%,0.72,High Vulnerability,0.73,High Concern,43.60%,18.97%,0.30%,2%,19.33%,0.08%,57.33%
13007,"Baker County, Georgia",GEORGIA,17.84%,26.45%,11.48%,0.74,High Vulnerability,0.91,Very High Concern,26.40%,5.49%,0.03%,3.07%,39.62%,0.67%,50.64%
13083,"Dade County, Georgia",GEORGIA,16.94%,24.14%,10.79%,0.52,Moderate Vulnerability,0.74,High Concern,12%,2.28%,0%,1.07%,0.65%,0.04%,93.33%
12049,"Hardee County, Florida",FLORIDA,14.34%,20.37%,9.68%,0.98,Very High Vulnerability,0.93,Very High Concern,29.40%,43.60%,0.06%,0.86%,7.44%,0.15%,47.06%
9007,"Middlesex County, Connecticut",CONNECTICUT,5.41%,7.77%,2.99%,0.12,Very Low Vulnerability,0,Very Low Concern,74.40%,6.19%,0.08%,3.04%,4.94%,0%,83.90%
12089,"Nassau County, Florida",FLORIDA,15.50%,21.16%,10.39%,0.25,Low Vulnerability,0.52,Moderate Concern,47.30%,4.31%,0.48%,1.02%,5.97%,0%,87.07%
12079,"Madison County, Florida",FLORIDA,17.25%,24.18%,11.75%,0.96,Very High Vulnerability,0.98,Very High Concern,35.20%,5.51%,0.34%,0.88%,38.21%,0.03%,54.43%
12133,"Washington County, Florida",FLORIDA,15.53%,21.20%,10.30%,0.89,Very High Vulnerability,0.95,Very High Concern,23.60%,3.69%,1.35%,0.67%,14.97%,0.42%,77.41%
13043,"Candler County, Georgia",GEORGIA,17.28%,25.41%,11.17%,0.98,Very High Vulnerability,0.89,Very High Concern,11.80%,11.77%,0%,0.19%,25.13%,0%,60.64%
13065,"Clinch County, Georgia",GEORGIA,18.80%,27.23%,12.24%,0.98,Very High Vulnerability,0.92,Very High Concern,26.60%,4.19%,0.03%,0%,28.42%,0%,65.12%
12119,"Sumter County, Florida",FLORIDA,11.38%,15.49%,7.67%,0.24,Low Vulnerability,0.39,Low Concern,69.50%,5.74%,0.33%,0.84%,6.75%,0.08%,84.97%
13019,"Berrien County, Georgia",GEORGIA,17.47%,25.52%,11.21%,0.85,Very High Vulnerability,0.96,Very High Concern,13.90%,5.07%,0.09%,1.11%,10.60%,0%,81.82%
17135,"Montgomery County, Illinois",ILLINOIS,10.17%,16.92%,6.33%,0.39,Low Vulnerability,0.39,Low Concern,39.40%,1.77%,0.17%,0.25%,3.74%,0.05%,93.25%
18069,"Huntington County, Indiana",INDIANA,13.83%,18.58%,8.82%,0.12,Very Low Vulnerability,0.58,Moderate Concern,45.30%,2.46%,0.43%,0.72%,0.90%,0.08%,94.77%
17199,"Williamson County, Illinois",ILLINOIS,9.85%,16.80%,6.03%,0.48,Moderate Vulnerability,0.37,Low Concern,42%,2.64%,0.20%,1.17%,4.10%,0%,89.70%
16085,"Valley County, Idaho",IDAHO,18.68%,24.57%,12.25%,0.09,Very Low Vulnerability,0.18,Very Low Concern,55.40%,4.62%,0.21%,0.24%,0.06%,0%,94.59%
17173,"Shelby County, Illinois",ILLINOIS,9.86%,16.41%,6.12%,0.09,Very Low Vulnerability,0.38,Low Concern,34.10%,1.05%,0.08%,0.29%,0.68%,0.04%,97.22%
18023,"Clinton County, Indiana",INDIANA,13.90%,19.08%,8.73%,0.57,Moderate Vulnerability,0.78,High Concern,41.30%,15.86%,0.16%,0.35%,0.67%,0.10%,82.14%
17007,"Boone County, Illinois",ILLINOIS,8.88%,14.78%,5.41%,0.47,Moderate Vulnerability,0.35,Low Concern,45.50%,21.80%,0.30%,1.18%,2.09%,0%,73%
18033,"DeKalb County, Indiana",INDIANA,14.83%,19.66%,9.76%,0.23,Low Vulnerability,0.61,High Concern,39%,2.80%,0.05%,0.33%,0.57%,0%,95.01%
17017,"Cass County, Illinois",ILLINOIS,10.42%,17.39%,6.46%,0.7,High Vulnerability,0.66,High Concern,49.10%,18.91%,0.18%,0.36%,4.31%,0.01%,75.48%
17109,"McDonough County, Illinois",ILLINOIS,9.65%,16.25%,5.93%,0.52,Moderate Vulnerability,0.54,Moderate Concern,38.40%,2.77%,0.10%,2.14%,4.67%,0%,87.87%
18077,"Jefferson County, Indiana",INDIANA,14.17%,19.22%,8.90%,0.44,Moderate Vulnerability,0.57,Moderate Concern,48.30%,2.80%,0.19%,0.89%,2.07%,0%,92.59%
17081,"Jefferson County, Illinois",ILLINOIS,10.02%,16.76%,6.18%,0.81,Very High Vulnerability,0.29,Low Concern,34.10%,2.67%,0.14%,1.15%,8.34%,0.01%,85.55%
17045,"Edgar County, Illinois",ILLINOIS,9.58%,16.19%,5.91%,0.34,Low Vulnerability,0.49,Moderate Concern,35.70%,1.21%,0.07%,0.18%,0.18%,0%,98.16%
17071,"Henderson County, Illinois",ILLINOIS,9.65%,16.25%,5.93%,0.07,Very Low Vulnerability,0.15,Very Low Concern,40.30%,1.81%,0%,0.57%,0.13%,0%,95.95%
17047,"Edwards County, Illinois",ILLINOIS,10.39%,17.25%,6.52%,0.24,Low Vulnerability,0.43,Moderate Concern,33.40%,1.38%,0.06%,0.28%,0.79%,0%,96.48%
17101,"Lawrence County, Illinois",ILLINOIS,10.55%,17.45%,6.57%,0.78,High Vulnerability,0.66,High Concern,29%,3.84%,0.97%,0.54%,8.25%,0%,84.56%
17025,"Clay County, Illinois",ILLINOIS,10.55%,17.45%,6.57%,0.61,High Vulnerability,0.37,Low Concern,32.60%,0.13%,0.24%,0.32%,0.81%,0%,96.08%
18013,"Brown County, Indiana",INDIANA,13.43%,17.95%,8.45%,0.06,Very Low Vulnerability,0.37,Low Concern,43.70%,1.72%,0%,0.73%,0.65%,0%,95.66%
18043,"Floyd County, Indiana",INDIANA,12.68%,17.07%,7.88%,0.17,Very Low Vulnerability,0.34,Low Concern,51%,3.28%,0.40%,1.07%,5.09%,0%,87.82%
17037,"DeKalb County, Illinois",ILLINOIS,7.96%,13.60%,4.75%,0.49,Moderate Vulnerability,0.38,Low Concern,42.60%,11.15%,0.05%,2.27%,7.76%,0%,76.81%
17089,"Kane County, Illinois",ILLINOIS,7.47%,12.56%,4.49%,0.42,Moderate Vulnerability,0.34,Low Concern,50.20%,31.87%,0.09%,4.01%,5.29%,0.04%,57.05%
17183,"Vermilion County, Illinois",ILLINOIS,10.60%,18.13%,6.53%,0.81,Very High Vulnerability,0.66,High Concern,32.20%,5.03%,0.26%,0.98%,13.97%,0.02%,78.23%
17111,"McHenry County, Illinois",ILLINOIS,7.90%,12.85%,4.81%,0.07,Very Low Vulnerability,0.22,Low Concern,50.20%,13.09%,0.07%,2.78%,1.37%,0%,81.08%
17153,"Pulaski County, Illinois",ILLINOIS,10.39%,17.25%,6.52%,0.69,High Vulnerability,0.69,High Concern,29.70%,2.32%,0.11%,0.13%,30.22%,0%,63.65%
17055,"Franklin County, Illinois",ILLINOIS,9.85%,16.80%,6.03%,0.61,High Vulnerability,0.69,High Concern,33.20%,1.68%,0.22%,0.43%,0.73%,0.07%,95.85%
18005,"Bartholomew County, Indiana",INDIANA,11.49%,15.49%,7.06%,0.36,Low Vulnerability,0.55,Moderate Concern,51.50%,6.76%,0.22%,7.40%,1.54%,0.05%,81.49%
13239,"Quitman County, Georgia",GEORGIA,15.56%,23.29%,9.91%,0.94,Very High Vulnerability,0.9,Very High Concern,8.70%,0.74%,0%,7.34%,51.90%,0.17%,37.05%
16021,"Boundary County, Idaho",IDAHO,18.50%,24.91%,12.03%,0.31,Low Vulnerability,0.54,Moderate Concern,30.20%,4.98%,1.33%,0.89%,0.53%,0.55%,90.35%
13289,"Twiggs County, Georgia",GEORGIA,14.78%,21.84%,9.35%,0.76,High Vulnerability,0.88,Very High Concern,4.30%,0.72%,0%,0.21%,42.85%,0%,55.05%
13173,"Lanier County, Georgia",GEORGIA,18.80%,27.23%,12.24%,0.87,Very High Vulnerability,0.92,Very High Concern,7.40%,5.72%,0.16%,0.20%,24.39%,0%,68.61%
13193,"Macon County, Georgia",GEORGIA,15.56%,23.29%,9.91%,0.93,Very High Vulnerability,0.93,Very High Concern,10.50%,4.29%,0%,0.39%,61.47%,0.01%,32.33%
13259,"Stewart County, Georgia",GEORGIA,15.56%,23.29%,9.91%,0.92,Very High Vulnerability,0.95,Very High Concern,13.20%,18.75%,0.14%,3.23%,52.42%,0%,23.38%
13159,"Jasper County, Georgia",GEORGIA,15.88%,22.45%,10.06%,0.69,High Vulnerability,0.72,High Concern,11.40%,3.92%,0.06%,0.29%,20.39%,0%,74.21%
16061,"Lewis County, Idaho",IDAHO,18.68%,24.57%,12.25%,0.57,Moderate Vulnerability,0.64,High Concern,41.20%,4.56%,7.74%,1.38%,0.13%,0.03%,83.82%
13183,"Long County, Georgia",GEORGIA,16.45%,25.08%,10.16%,0.83,Very High Vulnerability,0.79,High Concern,2.90%,11.28%,0.17%,0.97%,24.82%,0.44%,57.89%
13249,"Schley County, Georgia",GEORGIA,15.56%,23.29%,9.91%,0.82,Very High Vulnerability,0.71,High Concern,11.30%,6.51%,0%,0%,25.13%,0%,67.99%
13225,"Peach County, Georgia",GEORGIA,14.78%,21.84%,9.35%,0.94,Very High Vulnerability,0.85,Very High Concern,6.10%,7.71%,0.08%,1.01%,44.66%,0.10%,45.77%
16069,"Nez Perce County, Idaho",IDAHO,18.68%,24.57%,12.25%,0.51,Moderate Vulnerability,0.3,Low Concern,44.60%,3.93%,5.84%,0.77%,0.36%,0.01%,86.96%
16005,"Bannock County, Idaho",IDAHO,20.22%,27.27%,13.15%,0.58,Moderate Vulnerability,0.25,Low Concern,44.80%,8.61%,2.55%,1.75%,0.69%,0.16%,83.68%
16035,"Clearwater County, Idaho",IDAHO,18.68%,24.57%,12.25%,0.44,Moderate Vulnerability,0.36,Low Concern,35.40%,4.23%,2.20%,0.40%,0.53%,0.23%,90.25%
13273,"Terrell County, Georgia",GEORGIA,17.84%,26.45%,11.48%,0.96,Very High Vulnerability,0.86,Very High Concern,12.60%,2.82%,0%,3.10%,58.11%,0%,35.61%
16045,"Gem County, Idaho",IDAHO,16.83%,22.09%,10.94%,0.66,High Vulnerability,0.56,Moderate Concern,34.20%,8.37%,1.11%,0.57%,0.12%,0%,87.74%
13199,"Meriwether County, Georgia",GEORGIA,16.96%,24.96%,10.76%,0.87,Very High Vulnerability,0.84,Very High Concern,18.30%,2.20%,0.09%,0.25%,39.74%,0%,56.35%
16055,"Kootenai County, Idaho",IDAHO,19.30%,25.40%,12.59%,0.23,Low Vulnerability,0.11,Very Low Concern,39%,4.62%,1.25%,0.84%,0.30%,0.10%,90.63%
13265,"Taliaferro County, Georgia",GEORGIA,16.23%,24.62%,10.43%,0.91,Very High Vulnerability,0.85,Very High Concern,10.10%,3.97%,0%,0.74%,62.07%,0%,32.77%
16043,"Fremont County, Idaho",IDAHO,20.11%,27.29%,13.24%,0.51,Moderate Vulnerability,0.32,Low Concern,38.20%,12.51%,0.08%,0.18%,0.15%,0.63%,84.85%
15007,"Kauai County, Hawaii",HAWAII,6.10%,9.79%,3.26%,0.31,Low Vulnerability,0.18,Very Low Concern,,11.05%,0.36%,31.07%,0.40%,8.04%,29.52%
13181,"Lincoln County, Georgia",GEORGIA,16.23%,24.62%,10.43%,0.56,Moderate Vulnerability,0.85,Very High Concern,13.20%,1.82%,0.05%,0%,30.97%,0.03%,66.18%
13185,"Lowndes County, Georgia",GEORGIA,15.92%,24.25%,10.03%,0.87,Very High Vulnerability,0.82,Very High Concern,22.20%,5.66%,0.33%,1.74%,36.36%,0.07%,53.78%
16083,"Twin Falls County, Idaho",IDAHO,20.16%,26.77%,13.17%,0.5,Moderate Vulnerability,0.26,Low Concern,40%,16.37%,0.53%,1.71%,0.81%,0.05%,79.04%
13209,"Montgomery County, Georgia",GEORGIA,18.64%,26.92%,12.19%,0.85,Very High Vulnerability,0.93,Very High Concern,14.60%,6.59%,0%,0.18%,25.75%,0%,65.33%
13247,"Rockdale County, Georgia",GEORGIA,15.24%,22.62%,9.57%,0.55,Moderate Vulnerability,0.5,Moderate Concern,8.90%,10.22%,0.09%,1.98%,53.77%,0.20%,31.72%
13151,"Henry County, Georgia",GEORGIA,13.68%,20.43%,8.46%,0.31,Low Vulnerability,0.48,Moderate Concern,15.10%,6.82%,0.06%,3.29%,43.43%,0%,43.42%
13161,"Jeff Davis County, Georgia",GEORGIA,18.64%,26.92%,12.19%,0.94,Very High Vulnerability,0.94,Very High Concern,4.60%,12.12%,0%,0.23%,16.41%,0%,70.85%
13207,"Monroe County, Georgia",GEORGIA,14.78%,21.84%,9.35%,0.46,Moderate Vulnerability,0.58,Moderate Concern,5.90%,2.32%,0.15%,0.91%,23.20%,0%,72.41%
13237,"Putnam County, Georgia",GEORGIA,14.78%,21.84%,9.35%,0.43,Moderate Vulnerability,0.56,Moderate Concern,6.50%,6.35%,0%,0.50%,26.20%,0%,65.69%
16023,"Butte County, Idaho",IDAHO,18.68%,24.57%,12.25%,0.25,Low Vulnerability,0.37,Low Concern,39.70%,5.11%,0%,0%,0.15%,0%,94.73%
13171,"Lamar County, Georgia",GEORGIA,16.83%,24.48%,10.72%,0.49,Moderate Vulnerability,0.79,High Concern,6.90%,2.45%,0.14%,0.48%,29.40%,0%,65.16%
13261,"Sumter County, Georgia",GEORGIA,15.56%,23.29%,9.91%,0.98,Very High Vulnerability,0.76,High Concern,32.60%,5.69%,0%,1.36%,52.12%,0%,39.38%
13227,"Pickens County, Georgia",GEORGIA,16.88%,23.87%,10.80%,0.28,Low Vulnerability,0.39,Low Concern,9.60%,3.09%,0.92%,0.43%,1.03%,0.05%,86.62%
16075,"Payette County, Idaho",IDAHO,16.83%,22.09%,10.94%,0.6,High Vulnerability,0.29,Low Concern,28%,17.34%,0.59%,0.86%,0.08%,0.06%,78.42%
13217,"Newton County, Georgia",GEORGIA,15.24%,22.62%,9.57%,0.71,High Vulnerability,0.68,High Concern,10.40%,5.58%,0.16%,1.06%,44.33%,0.08%,46.44%
13291,"Union County, Georgia",GEORGIA,14.69%,20.76%,9.34%,0.31,Low Vulnerability,0.43,Moderate Concern,7.50%,3.31%,0.55%,0.31%,0.74%,0%,93.86%
16013,"Blaine County, Idaho",IDAHO,20.13%,27.76%,13.38%,0.32,Low Vulnerability,0.29,Low Concern,73.70%,22.63%,0.71%,0.85%,0.44%,0.09%,74.63%
13281,"Towns County, Georgia",GEORGIA,14.69%,20.76%,9.34%,0.33,Low Vulnerability,0.4,Moderate Concern,5.70%,2.74%,0.35%,0.52%,1.27%,0%,94.09%
13271,"Telfair County, Georgia",GEORGIA,18.64%,26.92%,12.19%,0.84,Very High Vulnerability,0.97,Very High Concern,13.10%,11.41%,0.03%,0.02%,38.50%,0%,48.94%
13195,"Madison County, Georgia",GEORGIA,15.03%,21.50%,9.53%,0.64,High Vulnerability,0.74,High Concern,16.90%,5.46%,0.34%,0.38%,10.64%,0%,81.85%
16067,"Minidoka County, Idaho",IDAHO,20.13%,27.76%,13.38%,0.68,High Vulnerability,0.51,Moderate Concern,33.60%,35.27%,1.23%,0.27%,0.15%,0%,62.01%
13251,"Screven County, Georgia",GEORGIA,15.76%,23.46%,9.86%,0.85,Very High Vulnerability,0.93,Very High Concern,29.90%,2.17%,0.17%,0.74%,41.63%,0%,54.46%
16003,"Adams County, Idaho",IDAHO,18.68%,24.57%,12.25%,0.29,Low Vulnerability,0.35,Low Concern,37.40%,3.59%,1.76%,0%,0.39%,0.20%,92.12%
16047,"Gooding County, Idaho",IDAHO,20.13%,27.76%,13.38%,0.71,High Vulnerability,0.68,High Concern,35.20%,29.07%,0.31%,0.92%,0.09%,0.22%,67.86%
16057,"Latah County, Idaho",IDAHO,18.50%,24.91%,12.03%,0.25,Low Vulnerability,0.32,Low Concern,48.80%,4.37%,1.04%,2.26%,1.16%,0.05%,88.70%
13279,"Toombs County, Georgia",GEORGIA,18.64%,26.92%,12.19%,0.98,Very High Vulnerability,0.81,Very High Concern,10.60%,11.69%,0.01%,0.91%,25.55%,0%,60.24%
13187,"Lumpkin County, Georgia",GEORGIA,14.69%,20.76%,9.34%,0.43,Moderate Vulnerability,0.65,High Concern,4.60%,4.84%,0.22%,0.82%,2.04%,0.14%,90.56%
16011,"Bingham County, Idaho",IDAHO,20.12%,27.29%,13.23%,0.51,Moderate Vulnerability,0.26,Low Concern,42.20%,17.99%,5.13%,0.57%,0.28%,0.05%,73.73%
16033,"Clark County, Idaho",IDAHO,18.68%,24.57%,12.25%,0.89,Very High Vulnerability,0.7,High Concern,31.60%,48.52%,4.60%,0%,0.77%,0%,46.11%
16077,"Power County, Idaho",IDAHO,20.22%,27.27%,13.15%,0.52,Moderate Vulnerability,0.45,Moderate Concern,49.60%,34.10%,4.29%,0%,0.08%,0.04%,61.32%
13215,"Muscogee County, Georgia",GEORGIA,14.96%,23.19%,9.27%,0.9,Very High Vulnerability,0.7,High Concern,29.70%,7.61%,0.40%,2.46%,45.61%,0.14%,40.35%
13245,"Richmond County, Georgia",GEORGIA,16.04%,24.66%,9.95%,0.93,Very High Vulnerability,0.72,High Concern,28.20%,4.92%,0.24%,1.78%,55.58%,0.21%,34.53%
13153,"Houston County, Georgia",GEORGIA,14.34%,21.43%,8.94%,0.57,Moderate Vulnerability,0.65,High Concern,31.60%,6.53%,0.31%,3.22%,30.70%,0.01%,56.25%
13309,"Wheeler County, Georgia",GEORGIA,18.64%,26.92%,12.19%,0.81,Very High Vulnerability,0.98,Very High Concern,4.50%,0.14%,0%,0%,43.39%,0%,56.18%
13219,"Oconee County, Georgia",GEORGIA,15.03%,21.50%,9.53%,0.04,Very Low Vulnerability,0.25,Low Concern,24.10%,5.29%,0.07%,3.68%,5.23%,0.07%,84.14%
13253,"Seminole County, Georgia",GEORGIA,17.84%,26.45%,11.48%,0.83,Very High Vulnerability,0.83,Very High Concern,5.20%,3.21%,0%,0.78%,32.89%,0%,61.51%
13149,"Heard County, Georgia",GEORGIA,16.96%,24.96%,10.76%,0.72,High Vulnerability,0.81,Very High Concern,7.70%,2.74%,0.03%,0.53%,8.73%,0.09%,84.76%
16041,"Franklin County, Idaho",IDAHO,20.22%,27.27%,13.15%,0.14,Very Low Vulnerability,0.33,Low Concern,37.40%,6.75%,0.54%,0.15%,0.26%,0.01%,91.08%
13179,"Liberty County, Georgia",GEORGIA,16.45%,25.08%,10.16%,0.89,Very High Vulnerability,0.76,High Concern,37.40%,12.61%,0.43%,1.96%,40.10%,0.50%,38.87%
13263,"Talbot County, Georgia",GEORGIA,15.56%,23.29%,9.91%,0.86,Very High Vulnerability,0.92,Very High Concern,21.80%,0.60%,0.03%,0.55%,57.73%,0%,40.69%
16073,"Owyhee County, Idaho",IDAHO,19.19%,25.92%,12.35%,0.82,Very High Vulnerability,0.61,High Concern,27.10%,26.24%,2.75%,0.11%,0.53%,0%,68.50%
13205,"Mitchell County, Georgia",GEORGIA,17.84%,26.45%,11.48%,0.99,Very High Vulnerability,0.93,Very High Concern,10.20%,4.58%,0.28%,0.20%,46.36%,0.05%,45.85%
13317,"Wilkes County, Georgia",GEORGIA,16.23%,24.62%,10.43%,0.76,High Vulnerability,0.89,Very High Concern,10.60%,5.06%,0%,0.39%,42.59%,0%,50.93%
13293,"Upson County, Georgia",GEORGIA,16.83%,24.48%,10.72%,0.85,Very High Vulnerability,0.79,High Concern,32.20%,2.31%,0.64%,0.45%,27.14%,0.76%,67.21%
15005,"Kalawao County, Hawaii",HAWAII,6.10%,9.79%,3.26%,0.32,Low Vulnerability,0.57,Moderate Concern,,3.03%,1.52%,21.21%,3.03%,27.27%,22.73%
13197,"Marion County, Georgia",GEORGIA,15.56%,23.29%,9.91%,0.85,Very High Vulnerability,0.83,Very High Concern,8%,7.28%,0.17%,0.91%,30.46%,0.62%,59.23%
13169,"Jones County, Georgia",GEORGIA,14.78%,21.84%,9.35%,0.38,Low Vulnerability,0.58,Moderate Concern,17.50%,1.67%,0.17%,0.75%,24.56%,0%,71.43%
13229,"Pierce County, Georgia",GEORGIA,18.80%,27.23%,12.24%,0.66,High Vulnerability,0.81,Very High Concern,21.50%,5.05%,0.41%,0%,9.35%,0%,84.03%
16015,"Boise County, Idaho",IDAHO,18.68%,24.57%,12.25%,0.07,Very Low Vulnerability,0.29,Low Concern,28%,4.58%,0.43%,0.96%,0.26%,0%,90.93%
16065,"Madison County, Idaho",IDAHO,20.11%,27.29%,13.24%,0.4,Moderate Vulnerability,0.35,Low Concern,38.20%,7.58%,0.14%,1.56%,0.17%,0.16%,88.30%
13163,"Jefferson County, Georgia",GEORGIA,16.23%,24.62%,10.43%,0.94,Very High Vulnerability,0.91,Very High Concern,23.50%,3.84%,0.15%,0.31%,53.11%,0%,42.01%
